"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Larimer County","CO","Fort Collins",211,1646,-0.000587,0.003275,0.01778,132162
2019-09-30,"Northampton County","PA","Allentown-Bethlehem-Easton",212,1309,0.002844,0.016185,0.018968,110845
2019-09-30,"Escambia County","FL","Pensacola-Ferry Pass-Brent",213,1143,0.008509,0.020043,0.057314,121728
2019-09-30,"Dutchess County","NY","New York-Newark-Jersey City",214,1768,0.005361,0.023619,0.068143,109887
2019-09-30,"Lake County","FL","Orlando-Kissimmee-Sanford",215,1334,0.002009,0.007421,0.041402,126454
2019-09-30,"Fayette County","KY","Lexington-Fayette",216,1063,0.001288,0.014955,0.046754,105968
2019-09-30,"Winnebago County","IL","Rockford",217,921,-0.005371,-0.015783,0.009406,95425
2019-09-30,"Rockingham County","NH","Boston-Cambridge-Newton",218,1924,0.004296,0.01242,0.046191,125295
2019-09-30,"Boulder County","CO","Boulder",219,1946,0.000166,0.001492,0.011804,124225
2019-09-30,"Anchorage Borough","AK","Anchorage",220,1588,-0.000188,0.00507,0.001417,98645
2019-09-30,"Galveston County","TX","Houston-The Woodlands-Sugar Land",221,1408,-0.003768,-0.001475,0.014743,132082
2019-09-30,"Gloucester County","NJ","Philadelphia-Camden-Wilmington",222,1489,-0.000402,0.003604,0.011147,101560
2019-09-30,"Howard County","MD","Baltimore-Columbia-Towson",223,1850,0.002385,0.006832,0.010839,110589
2019-09-30,"Douglas County","CO","Denver-Aurora-Lakewood",224,2044,-0.000391,0.003613,0.006944,124438
2019-09-30,"Lancaster County","NE","Lincoln",225,1048,-0.002373,0.002606,-0.013011,98818
2019-09-30,"Spartanburg County","SC","Spartanburg",226,1011,0.008616,0.039636,0.038488,103071
2019-09-30,"Cumberland County","ME","Portland-South Portland",227,1785,-0.001721,0.029392,0.030633,113051
2019-09-30,"Ingham County","MI","Lansing-East Lansing",228,977,0.008203,0.025794,-0.020256,81839
2019-09-30,"Erie County","PA","Erie",229,847,0.003974,0.011917,-0.015846,83717
2019-09-30,"Lubbock County","TX","Lubbock",230,1008,-0.002539,0.003401,0.003132,93892
2019-09-30,"Saint Lucie County","FL","Port St. Lucie",231,1542,0.001192,0.007126,0.025759,136570
2019-09-30,"Leon County","FL","Tallahassee",232,1053,0.000983,0.012669,0.037857,91177
2019-09-30,"Greene County","MO","Springfield",233,735,0.010413,0.025211,0.036657,100198
2019-09-30,"Hamilton County","IN","Indianapolis-Carmel-Anderson",234,1424,0.004588,0.018793,0.029722,120807
2019-09-30,"Atlantic County","NJ","Atlantic City-Hammonton",235,1388,-0.006547,0.004706,0.025746,117327
2019-09-30,"New London County","CT","Norwich-New London",236,1288,0.011422,0.023416,0.014018,108568
2019-09-30,"Saint Clair County","IL","St. Louis",237,799,-0.003376,-0.008769,-0.023964,91338
2019-09-30,"San Luis Obispo County","CA","San Luis Obispo-Paso Robles-Arroyo Grande",238,2425,-0.008432,-0.010831,0.014343,85720
2019-09-30,"Horry County","SC","Myrtle Beach-Conway-North Myrtle Beach",239,1259,0.008533,0.022045,-0.006377,208840
2019-09-30,"Madison County","IL","St. Louis",240,854,-0.002777,0.006272,0.02109,103487
2019-09-30,"Osceola County","FL","Orlando-Kissimmee-Sanford",241,1453,0.007139,0.022721,0.040277,138006
2019-09-30,"Dauphin County","PA","Harrisburg-Carlisle",242,1113,0.000566,0.013228,0.079693,101002
2019-09-30,"Durham County","NC","Durham-Chapel Hill",243,1307,0.00281,0.016555,0.047042,105802
2019-09-30,"Saint Joseph County","IN","South Bend-Mishawaka",244,949,-0.00536,-0.001742,-0.008073,99191
2019-09-30,"Chatham County","GA","Savannah",245,1299,0.003242,0.021412,0.038644,100212
2019-09-30,"Ottawa County","MI","Grand Rapids-Wyoming",246,1300,-0.002909,0.000218,-0.007975,60953
2019-09-30,"Rutherford County","TN","Nashville-Davidson--Murfreesboro--Franklin",247,1293,0.006925,0.020116,0.019983,143108
2019-09-30,"Lexington County","SC","Columbia",248,1143,0.002416,0.010092,0.054348,94985
2019-09-30,"Santa Cruz County","CA","Santa Cruz-Watsonville",249,3088,0.001214,0.013697,0.01946,76664
2019-09-30,"Clayton County","GA","Atlanta-Sandy Springs-Roswell",250,1027,0.011231,0.028816,0.072295,91577
2019-09-30,"Merced County","CA","Merced",251,1345,0.004052,0.032179,0.046404,68813
2019-09-30,"Cleveland County","OK","Oklahoma City",252,987,-0.004411,-0.007967,-0.001063,99815
2019-09-30,"Caddo Parish","LA","Shreveport-Bossier City",253,844,-0.005693,0.001935,0.030921,7423
2019-09-30,"Weld County","CO","Greeley",254,1626,0.008609,0.027518,0.042338,110578
2019-09-30,"Marin County","CA","San Francisco-Oakland-Hayward",255,3661,0.000587,0.002904,0.003101,87346
2019-09-30,"Jefferson County","TX","Beaumont-Port Arthur",256,1059,-0.003203,0.015796,0.024709,81499
