"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",189,1724,0.000525,0.002107,-0.003487,55407
2019-09-30,"Naperville","IL","Chicago-Naperville-Elgin","DuPage County",190,1681,-0.000087,0.005106,0.01245,45768
2019-09-30,"Fairfax","VA","Washington-Arlington-Alexandria","Fairfax County",191,2124,0.00414,0.021178,0.02727,59968
2019-09-30,"Boynton Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",192,1762,0.002079,0.003936,0.005304,84211
2019-09-30,"Topeka","KS","Topeka","Shawnee County",193,807,0.006008,0.014749,-0.009035,58272
2019-09-30,"McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",194,1468,-0.000411,0.004527,0.00104,68504
2019-09-30,"Lafayette","LA","Lafayette","Lafayette Parish",195,1035,-0.026063,-0.052697,-0.014691,3836
2019-09-30,"Pembroke Pines","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",196,1638,0.002285,0.006758,0.014305,78049
2019-09-30,"Edmond","OK","Oklahoma City","Oklahoma County",197,1082,0.00186,0.012449,0.025481,67624
2019-09-30,"Lakeland","FL","Lakeland-Winter Haven","Polk County",198,1214,-0.000297,0.00554,0.041331,47121
2019-09-30,"Pueblo","CO","Pueblo","Pueblo County",199,1078,0.002833,0.008483,0.025145,57299
2019-09-30,"Springfield","MA","Springfield","Hampden County",200,1221,0.005598,0.008995,0.006708,39660
2019-09-30,"Odessa","TX","Odessa","Ector County",201,1930,-0.018979,-0.039572,0.02609,39222
2019-09-30,"Henrico","VA","Richmond","Henrico County",202,1398,-0.000113,0.007442,0.033715,63272
2019-09-30,"Dayton","OH","Dayton","Montgomery County",203,755,0.003249,0.014565,0.011218,56002
2019-09-30,"Midland","TX","Midland","Midland County",204,2033,-0.003769,-0.00278,0.106156,46540
2019-09-30,"Lakewood","CO","Denver-Aurora-Lakewood","Jefferson County",205,1617,0.004691,0.015015,-0.012059,57711
2019-09-30,"Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",206,1752,0.002459,-0.000974,0.008427,69818
2019-09-30,"Alexandria","VA","Washington-Arlington-Alexandria","Alexandria City",207,1939,0.006049,0.019825,0.028511,70645
2019-09-30,"Tyler","TX","Tyler","Smith County",208,1067,-0.002235,0.011249,0.018173,47634
2019-09-30,"Pomona","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",209,2164,0.004667,0.012352,0.001824,32068
2019-09-30,"Visalia","CA","Visalia-Porterville","Tulare County",210,1226,0.00358,0.01654,0.0376,42781
2019-09-30,"Cypress","TX","Houston-The Woodlands-Sugar Land","Harris County",211,1336,0.005936,0.01365,0.002654,69310
2019-09-30,"Round Rock","TX","Austin-Round Rock","Williamson County",212,1485,0.005133,0.015939,0.023717,54130
2019-09-30,"Ann Arbor","MI","Ann Arbor","Washtenaw County",213,1684,-0.040461,-0.031603,-0.036773,46737
2019-09-30,"Whittier","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",214,2360,0.002946,0.009433,-0.02582,44005
2019-09-30,"Kansas City","KS","Kansas City","Wyandotte County",215,937,-0.002178,0.005258,-0.014497,51468
2019-09-30,"Sunnyvale","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",216,3619,0.003151,0.013588,0.005757,37378
2019-09-30,"Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",217,1780,0.000459,0.002195,0.027744,73681
2019-09-30,"Las Cruces","NM","Las Cruces","Dona Ana County",218,955,-0.000388,0.009884,0.039604,48470
2019-09-30,"Edinburg","TX","McAllen-Edinburg-Mission","Hidalgo County",219,822,-0.000843,-0.000536,0.015771,35028
2019-09-30,"Conroe","TX","Houston-The Woodlands-Sugar Land","Montgomery County",220,1361,-0.004158,-0.001848,-0.002243,46841
2019-09-30,"Lansing","MI","Lansing-East Lansing","Ingham County",221,858,0.004699,0.004383,-0.065584,42475
2019-09-30,"South Bend","IN","South Bend-Mishawaka","Saint Joseph County",222,949,-0.004514,0.002851,0.011088,57194
2019-09-30,"Cary","NC","Raleigh","Wake County",223,1319,0.003167,0.011958,0.017786,58005
2019-09-30,"Paterson","NJ","New York-Newark-Jersey City","Passaic County",224,1665,-0.001968,-0.004761,0.024667,7591
2019-09-30,"Pasadena","TX","Houston-The Woodlands-Sugar Land","Harris County",225,1190,-0.000622,-0.004046,-0.053045,32834
2019-09-30,"Beaumont","TX","Beaumont-Port Arthur","Jefferson County",226,1093,0.004783,0.031061,0.030406,42704
2019-09-30,"Yuma","AZ","Yuma","Yuma County",227,941,0.008657,0.027394,0.037371,35964
2019-09-30,"Frisco","TX","Dallas-Fort Worth-Arlington","Collin County",228,1701,-0.007954,-0.013463,-0.005703,67678
2019-09-30,"Columbia","MO","Columbia","Boone County",229,927,0.004871,0.021567,0.003,47874
